two_word
"make excus"
"excus like"
"like blame"
"juanita broaddrick"
"nkeith ellison"
"tom carper"
"sherrod brown"
"joker film"
"cast whackin"
"make sure"
"sure donni"
"donni ha"
"local woman"
"presid s"
"onli 8"
"five kid"
"ever occur"
"littl child"
"child rape"
"s whi"
"giant target"
"lourd melo"
"geovanna xavier"
"feel pressur"
"justifi ani"
"ani decis"
"share bc"
"felt good"
"teenag boy"
"34 year"
"old woman"
"taken advantag"
"friend s"
"s mother"
"school guidanc"
"nthey interview"
"father adam"
"adam deni"
"deni ani"
"ani wrongdo"
"mother sit"
"sit right"
"onli sexual"
"old men"
"men cop"
"cop feel"
"neighborhood masturb"
"polic laugh"
"made u"
"u look"
"look bad"
"someon read"
"report it"
"6 mo"
"mo later"
"collect agenc"
"good news"
"there s"
"s enough"
"enough evid"
"psycholog narcissist"
"s older"
"older brother"
"best interest"
"love dad"
"smear campaign"
"possibl retribut"
"13 yr"
"old daughter"
"attack rape"
"young girl"
"didnt realiz"
"consentu encount"
"nonsentu act"
"didnt say"
"wasnt suppos"
"screenshot last"
"stand tall"
"new husband"
"d done"
"done wrong"
"onli ever"
"ever told"
"told 2"
"2 peopl"
"first kiss"
"sit togeth"
"bus dure"
"utter ridicul"
"reson deepli"
"cope mechan"
"start write"
"write like"
"support everyon"
"everyon share"
"know 6"
"6 woman"
"ha experienc"
"girl age"
"4 time"
"undergrad thesi"
"thesi advisor"
"advisor stop"
"stop elev"
"kept kiss"
"fell back"
"never went"
"never know"
"truli earn"
"one ever"
"ever belief"
"teenag girl"
"stop anyon"
"horribl indict"
"either side"
"damn thing"
"mani valid"
"valid reason"
"reason peopl"
"d turn"
"automat guilti"
"nit s"
"s insan"
"imagin consequ"
"potenti action"
"second instanc"
"famili apart"
"mother heart"
"dark alley"
"alley thing"
"ppl understand"
"person immedi"
"immedi blame"
"trump lash"
"happen becaus"
"didnt actual"
"actual penetr"
"around joke"
"leadership posit"
"never taken"
"safeti serious"
"start anytim"
"anytim soon"
"traumat wast"
"anoth harrow"
"harrow exampl"
"whi donald"
"small mind"
"dictatori man"
"worst presid"
"state ha"
"ha seen"
"assum consent"
"right thing"
"court nomine"
"real peopl"
"stop attack"
"that s"
"funni part"
"lier tri"
"u0001f60c that"
"know exact"
"meant u0001f622"
"go home"
"go tell"
"stepdad beat"
"tell mom"
"mom becaus"
"real dad"
"dad said"
"gotten marri"
"coupl month"
"month back"
"state anyhow"
"assum report"
"onli legitim"
"legitim way"
"cultur issu"
"allow men"
"think woman"
"u201ctweet button"
"stori matter"
"still feel"
"feel deepli"
"deepli shame"
"13 17"
"17 year"
"old first"
"first offic"
"offic job"
"job bos"
"stand next"
"n poke"
"poke side"
"older teenag"
"consid normal"
"normal behavior"
"awesom nomine"
"brain know"
"obstruct anyth"
"anyth good"
"parti power"
"win streak"
"streak go"
"first serious"
"serious job"
"job prospect"
"get fire"
"famili indirect"
"indirect involv"
"famili told"
"anyth becaus"
"roommat brother"
