tweetID	 gramID	 count
182	664	1
182	914	1
182	916	1
182	917	1
182	14010	1
183	918	1
183	15702	1
183	919	1
183	920	1
183	921	1
183	922	1
184	96	1
184	928	1
184	611	1
184	929	1
184	16168	1
184	747	1
184	754	1
184	931	1
184	213	1
184	376	1
184	923	1
184	925	1
184	926	1
184	927	1
185	933	1
185	183	1
187	305	1
188	386	1
188	426	1
188	934	1
188	935	1
189	439	1
189	16171	1
189	15788	1
189	46958	1
189	599	1
189	184	1
189	639	1
190	921	1
190	940	1
190	18223	1
191	376	1
191	945	1
191	188	1
192	518	1
192	647	1
192	15788	1
192	498	1
192	946	1
192	947	1
192	346	1
193	105	1
193	564	1
193	949	1
193	153	1
194	299	1
194	667	1
194	950	1
195	15864	1
196	21698	1
196	952	1
196	953	1
196	954	1
196	27	1
196	318	1
198	186	1
198	955	1
198	957	1
199	960	1
199	962	1
199	644	1
199	730	1
199	731	1
199	958	1
199	959	1
201	963	1
201	388	1
201	109	1
201	16189	1
201	113	1
201	567	1
201	100	1
201	413	1
201	127	1
202	964	1
202	965	1
202	966	1
202	44935	1
202	15663	1
202	564	1
202	85	1
202	901	1
203	408	1
203	16192	1
203	16052	1
204	707	1
204	16196	1
204	389	1
204	967	1
204	16200	1
204	17738	1
204	16199	1
204	333	1
204	18989	1
204	820	1
204	861	1
205	518	1
205	968	1
205	969	1
205	38730	1
205	843	1
205	18490	1
205	91	1
206	452	1
206	16205	1
206	296	1
206	972	1
206	970	1
206	971	1
206	780	1
206	109	1
206	974	1
206	973	1
206	497	1
206	595	1
206	182	1
206	36904	1
206	792	1
206	16204	1
206	859	1
206	16202	1
207	60672	1
207	611	1
207	357	1
207	136	1
207	16490	1
207	978	1
207	878	1
207	976	1
207	977	1
207	370	1
207	131	1
208	131	1
208	261	1
208	211	2
208	263	1
208	15977	1
208	15694	1
208	16210	1
208	979	1
208	980	1
208	981	1
208	982	1
208	53751	1
208	984	1
208	16212	1
208	16211	1
208	3071	1
210	934	1
210	402	1
210	503	1
210	985	1
210	986	1
210	828	1
210	16093	1
211	545	1
211	16219	1
211	16221	1
211	16220	1
211	362	1
211	524	1
211	989	1
211	946	1
211	87	1
211	376	1
211	16218	1
211	987	1
211	988	1
211	925	1
211	63	1
213	960	1
213	962	1
213	644	1
213	730	1
213	731	1
213	958	1
213	959	1
214	992	1
214	993	1
214	994	1
214	995	1
214	874	1
214	115	1
214	991	1
215	355	1
215	996	1
215	699	1
215	998	1
215	999	1
215	264	1
215	49895	1
215	16232	1
215	694	2
215	279	1
215	16228	1
215	443	2
215	572	1
215	997	1
216	355	1
216	996	1
216	16235	1
216	1001	1
216	1002	1
216	1003	1
216	1004	1
216	817	1
216	661	1
216	982	1
216	4	1
216	15935	1
217	1005	1
217	1006	2
218	834	1
218	16242	1
218	16243	1
218	1012	1
218	1013	1
218	1014	1
218	1015	1
218	1016	1
218	16244	1
218	446	1
218	543	1
219	305	1
219	1017	1
219	470	1
219	407	1
220	224	1
220	512	1
220	545	1
220	105	1
220	429	1
220	366	3
220	19	1
220	590	1
220	982	1
220	823	1
220	1018	1
221	16256	1
221	16257	1
221	73028	1
221	261	1
221	264	1
221	15663	1
221	85	2
221	443	1
221	16252	1
221	1021	1
221	1022	2
221	223	1
222	1024	1
222	16258	1
222	355	1
222	523	1
222	675	1
222	918	1
223	1025	1
223	1026	1
223	1027	1
223	708	1
223	16262	1
223	241	1
223	182	1
223	16955	1
223	19867	1
223	40351	1
224	647	1
225	1028	1
225	1029	1
225	1030	1
225	1031	1
225	874	1
225	141	1
225	313	1
225	253	1
225	36734	1
226	1032	1
226	425	1
226	16268	1
226	1033	1
227	61988	1
227	1034	1
227	1036	1
227	557	1
227	17322	1
227	16274	1
227	598	1
227	570	1
227	27	1
227	858	1
228	388	1
228	555	1
228	1037	1
228	109	1
228	1038	1
228	1039	1
228	1040	1
230	420	1
230	58118	1
230	16972	1
230	1042	1
230	1043	1
